37.259866000	
37.265381000	0.005515000
37.265478000	0.000097000
37.265644000	
37.272037000	0.006393000
37.426730000	
37.426811000	0.000081000
37.430163000	
37.430164000	
37.432044000	
37.432109000	0.000065000
37.433935000	0.003772000
37.435373000	
37.436244000	0.006080000
37.440968000	0.005595000
37.632403000	
37.632522000	0.000119000
37.649682000	
37.746311000	
37.746424000	0.000113000
37.746720000	0.097038000
37.746724000	
37.746811000	0.000087000
37.748079000	
37.759544000	0.011465000
37.759636000	0.000092000
37.760376000	
37.892425000	
37.919003000	0.158627000
37.921062000	
38.758747000	
38.758932000	0.000185000
38.761741000	
38.768711000	
38.768716000	0.006975000
38.768812000	0.000101000
38.773186000	
38.773306000	0.000120000
38.774246000	
38.780011000	0.005765000
38.780109000	0.000098000
38.780699000	
38.796014000	0.015315000
38.796090000	0.000076000
38.796486000	
38.804190000	0.007704000
38.804289000	0.000099000
38.805768000	
38.810948000	0.005180000
38.811039000	0.000091000
38.811340000	
38.817017000	0.005677000
38.817162000	0.000145000
38.817706000	
38.824175000	0.006469000
38.824254000	0.000079000
38.825084000	
38.828895000	0.003811000
38.828974000	0.000079000
38.829292000	
38.833013000	0.003721000
38.833112000	0.000099000
38.833483000	
38.841418000	0.007935000
38.841423000	
38.841502000	0.000079000
38.842385000	
38.842389000	
38.842451000	0.000062000
38.842918000	
38.848057000	0.005139000
38.848203000	0.000146000
38.848611000	
38.852010000	0.003399000
38.852075000	0.000065000
38.854224000	
38.858934000	0.004710000
38.859007000	0.000073000
38.859259000	
38.870016000	0.010757000
38.870134000	0.000118000
38.871960000	
38.871961000	
38.871962000	
38.871963000	
38.871964000	
38.871965000	
38.871965000	
38.871966000	
38.871967000	
38.871968000	
38.871968000	
38.892196000	0.020235000
38.892350000	
38.892351000	
38.892352000	
38.892353000	
38.894938000	0.022974000
38.895078000	
38.895079000	
38.895079000	
38.895080000	
38.895080000	
38.895081000	
38.909152000	0.037187000
38.909251000	
38.909251000	
38.909252000	
38.909252000	
38.915080000	0.043113000
38.915089000	0.043121000
38.915276000	
38.915278000	
38.915279000	
38.915280000	
38.915282000	
38.915282000	
38.915283000	
38.915423000	
38.927053000	0.034702000
38.927191000	
38.927192000	
38.927193000	
38.927194000	
38.935025000	0.042673000
38.935030000	0.039951000
38.935130000	0.000105000
38.935131000	
38.935195000	
38.935196000	
38.935196000	
38.935197000	
38.935197000	
38.935198000	
38.935198000	
38.935199000	
38.940061000	0.044981000
38.940065000	0.030814000
38.940147000	
38.940148000	
38.940148000	
38.940149000	
38.940219000	
38.940220000	
38.940220000	
38.940221000	
38.941698000	0.032446000
38.941752000	
38.941752000	
38.941752000	
38.941753000	
38.950058000	0.034782000
38.950063000	0.034781000
38.950141000	
38.950142000	
38.950142000	
38.950143000	
38.950217000	
38.950218000	
38.950219000	
38.950219000	
38.950220000	
38.950220000	
38.950221000	
38.950221000	
38.950222000	
38.950222000	
38.957044000	0.021913000
38.957047000	
38.957047000	0.021852000
38.957048000	0.021852000
38.957112000	0.000065000
38.957162000	
38.957162000	
38.957163000	
38.957164000	
38.957164000	
38.957165000	
38.957165000	
38.957166000	
38.957166000	
38.957167000	
38.957167000	
38.957168000	
38.957168000	
38.957169000	
38.957169000	
38.957170000	0.000123000
