"No.","Time","Source","Destination","Protocol","Length","Info"
"6615","16.809729","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5181476 Ack=5776 Win=489 Len=1394 TSval=657514832 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6616","16.809730","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [PSH, ACK] Seq=5182870 Ack=5776 Win=489 Len=1394 TSval=657514832 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6617","16.809820","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5184264 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6618","16.809824","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5185658 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6619","16.809884","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5175900 Win=49988 Len=0 TSval=3071744723 TSecr=657514832"
"6620","16.810250","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=5776 Ack=5187052 Win=49988 Len=0 TSval=3071744725 TSecr=657514833"
"6621","16.810314","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5187052 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6622","16.810316","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5188446 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6623","16.810317","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"6624","16.810318","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5191234 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6625","16.810320","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5192628 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
"6626","16.810322","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5194022 Ack=5776 Win=489 Len=1394 TSval=657514833 TSecr=3071744654 [TCP segment of a reassembled PDU]"
